537a34ec-15a5-420f-82e0-345bf3f9ac6b,Aastra 673x Global Default,Aastra Global Default,aastra, aastra/673x/{$mac}.cfg
d7c76b17-9689-42d5-a27c-75573ad4ca74,Aastra 675x Global Default,Aastra Global Default,aastra, aastra/675x/{$mac}.cfg
ec55b15c-3f71-4352-a2fd-8bc9774aae98,Aastra 686x Global Default,Aastra Global Default,aastra, aastra/686x/{$mac}.cfg
06a2b676-0e34-418a-8101-55b6c693b4be,Atcom ag198 Global Default,Atcom Global Default,atcom, atcom/ag198/{$mac}.cfg
aca55c40-1402-4f9f-93c9-b0642f24801f,Cisco spa112 Global Default,Cisco Global Default,cisco, cisco/spa112/{$mac}.xml
c2f8e6c2-e2cf-4288-8574-504dbaa5856a,Cisco spa122 Global Default,Cisco Global Default,cisco, cisco/spa122/{$mac}.xml
60eaee75-1785-4021-a02e-16d32a458493,Cisco spa301 Global Default,Cisco Global Default,cisco, cisco/spa301/{$mac}.xml
e684fddf-a73d-464f-9abf-a236b775fe2f,Cisco spa303 Global Default,Cisco Global Default,cisco, cisco/spa303/{$mac}.xml
7959f342-ab13-4b7a-b196-515683d95159,Cisco spa501g Global Default,Cisco Global Default,cisco, cisco/spa501g/{$mac}.xml
e85ee60d-3eb5-457f-a893-0a468aa9cec8,Cisco spa502g Global Default,Cisco Global Default,cisco, cisco/spa502g/{$mac}.xml
210c9369-bf34-4770-b17a-8d52af505194,Cisco spa504g Global Default,Cisco Global Default,cisco, cisco/spa504g/{$mac}.xml
5fd40075-cd47-48c9-b678-b2679159de68,Cisco spa508g Global Default,Cisco Global Default,cisco, cisco/spa508g/{$mac}.xml
dc56e5f5-db91-45bc-8014-9bd052be1279,Cisco spa509g Global Default,Cisco Global Default,cisco, cisco/spa509g/{$mac}.xml
35f77bbc-4f52-46d1-8f06-202837daf9c1,Cisco spa512g Global Default,Cisco Global Default,cisco, cisco/spa512g/{$mac}.xml
9526ce5d-db97-449f-ab0c-9617fa309495,Cisco spa514g Global Default,Cisco Global Default,cisco, cisco/spa514g/{$mac}.xml
cc5a1377-2fe4-4192-8224-809c6ce6b294,Cisco spa525g Global Default,Cisco Global Default,cisco, cisco/spa525g/{$mac}.xml
a9b87324-935e-42d7-9382-e82124362d91,Escene e3xx Global Default,Escene Global Default,escene, escene/e3xx/{$mac}.xml
8076519b-2f94-4843-86bd-b5a5eb7aa4e7,Grandstream dp715.sm Global Default,Grandstream Global Default,grandstream, grandstream/dp715.sm/{$mac}.xml
6fd71790-f41c-49c4-8092-788965653d73,Grandstream dp715 Global Default,Grandstream Global Default,grandstream, grandstream/dp715/{$mac}.xml
e9ab29c9-694a-45e4-b120-65bd345c182a,Grandstream gxp110x Global Default,Grandstream Global Default,grandstream, grandstream/gxp110x/{$mac}.xml
a3ffe138-884e-4096-abfd-edc96aa210a9,Grandstream gxp116x Global Default,Grandstream Global Default,grandstream, grandstream/gxp116x/{$mac}.xml
00cabc3a-7f33-46c0-a4fd-521c49298ed4,Grandstream gxp140x Global Default,Grandstream Global Default,grandstream, grandstream/gxp140x/{$mac}.xml
5a5c1124-557b-4f69-afd0-75256adf3e01,Grandstream gxp140xbk Global Default,Grandstream Global Default,grandstream, grandstream/gxp140xbk/{$mac}.xml
e1b882c5-2e61-4229-ad68-224642fff2f7,Grandstream gxp1450 Global Default,Grandstream Global Default,grandstream, grandstream/gxp1450/{$mac}.xml
cb60ef16-1e1f-4759-b61d-8c1665bebb79,Grandstream gxp1450bk Global Default,Grandstream Global Default,grandstream, grandstream/gxp1450bk/{$mac}.xml
38a8b50d-f762-4155-9cbb-89f13f73a2a3,Grandstream gxp20xx Global Default,Grandstream Global Default,grandstream, grandstream/gxp20xx/{$mac}.xml
c72d824e-e356-4ebb-aaa0-59af62034cfb,Grandstream gxp2124 Global Default,Grandstream Global Default,grandstream, grandstream/gxp2124/{$mac}.xml
85b517e3-1c59-466a-beb9-48d6a8609991,Grandstream gxp21xx Global Default,Grandstream Global Default,grandstream, grandstream/gxp21xx/{$mac}.xml
2e0f56d6-3ecf-4c95-b6a4-37ee90ce412b,Grandstream gxp21xxbk Global Default,Grandstream Global Default,grandstream, grandstream/gxp21xxbk/{$mac}.xml
a3689f3b-e239-4a9f-80b0-fb3428d2e4e4,Grandstream gxp2200 Global Default,Grandstream Global Default,grandstream, grandstream/gxp2200/{$mac}.xml
c938b7b5-a162-45ff-9a67-b3ebef460d69,Grandstream gxp3240 Global Default,Grandstream Global Default,grandstream, grandstream/gxp3240/{$mac}.xml
a52d04d5-ed8b-42ff-899b-1d16e5724b36,Grandstream gxv300x Global Default,Grandstream Global Default,grandstream, grandstream/gxv300x/{$mac}.xml
f4d11077-af87-4d64-8625-1b3d67281042,Grandstream gxv3140 Global Default,Grandstream Global Default,grandstream, grandstream/gxv3140/{$mac}.xml
7c77ad40-dab0-456b-9d7c-581b3e85a4db,Grandstream gxv3175 Global Default,Grandstream Global Default,grandstream, grandstream/gxv3175/{$mac}.xml
1bbda18e-5ff4-43b4-8850-c0333649b83a,Grandstream gxv3175v2 Global Default,Grandstream Global Default,grandstream, grandstream/gxv3175v2/{$mac}.xml
bcc81299-e9e8-44c2-84a4-d525f6852aff,Grandstream gxv3275 Global Default,Grandstream Global Default,grandstream, grandstream/gxv3275/{$mac}.xml
ec1125ac-cf0a-42e1-8ae0-29f41d224f82,Grandstream gxv3504 Global Default,Grandstream Global Default,grandstream, grandstream/gxv3504/{$mac}.xml
